Page Title,Section,Content Info,Details
Swift Ride,SwiftRide Home Page - Main Heading,,https://swiftride.net/
Swift Ride,Subtitle,,
Swift Ride,How It Works Page - Main Heading,,https://swiftride.net/how-it-works
Swift Ride,Process Step 1,,
Swift Ride,Process Step 2,,
Swift Ride,Contact Us Page - Main Heading,How Can We Help?,https://swiftride.net/contact-us
Swift Ride,Main Heading,How Can We Help?,
Swift Ride,Contact Email,hello@swiftride.net,
Swift Ride,Support Option 1,Email Support,
Swift Ride,Support Option 2,Live Chat,
